-DOCSTART- -X- -X- O

Identification NN B-NP O
of IN B-PP O
APC2 NN B-NP O
, , O O
a DT B-NP O
homologue NN I-NP O
of IN B-PP O
the DT B-NP O
adenomatous JJ I-NP B-Disease
polyposis NN I-NP I-Disease
coli NN I-NP I-Disease
tumour NN I-NP I-Disease
suppressor NN I-NP O
. . O O

The DT B-NP O
adenomatous JJ I-NP B-Disease
polyposis NN I-NP I-Disease
coli NN I-NP I-Disease
( ( O I-Disease
APC NN B-NP I-Disease
) ) O I-Disease
tumour NN B-NP I-Disease
- HYPH B-NP O
suppressor NN I-NP O
protein NN I-NP O
controls VBZ B-VP O
the DT B-NP O
Wnt NN I-NP O
signalling NN I-NP O
pathway NN I-NP O
by IN B-PP O
forming VBG B-VP O
a DT B-NP O
complex NN I-NP O
with IN B-PP O
glycogen NN B-NP O
synthase NN I-NP O
kinase NN I-NP O
3beta NN I-NP O
( ( O O
GSK NN B-NP O
- HYPH B-NP O
3beta NN I-NP O
) ) O O
, , O O
axin NN B-NP O
/ SYM B-NP O
conductin NN I-NP O
and CC I-NP O
betacatenin NN I-NP O
. . O O

Complex NN B-NP O
formation NN I-NP O
induces VBZ B-VP O
the DT B-NP O
rapid JJ I-NP O
degradation NN I-NP O
of IN B-PP O
betacatenin NN B-NP O
. . O O

In IN B-PP O
colon NN B-NP B-Disease
carcinoma NN I-NP I-Disease
cells NNS I-NP O
, , O O
loss NN B-NP O
of IN B-PP O
APC NN B-NP O
leads VBZ B-VP O
to TO B-PP O
the DT B-NP O
accumulation NN I-NP O
of IN B-PP O
betacatenin NN B-NP O
in IN B-PP O
the DT B-NP O
nucleus NN I-NP O
, , O O
where WRB B-ADVP O
it PRP B-NP O
binds VBZ B-VP O
to TO B-PP O
and CC O O
activates VBZ B-VP O
the DT B-NP O
Tcf NN I-NP O
- HYPH B-NP O
4 CD I-NP O
transcription NN I-NP O
factor NN I-NP O
( ( O O
reviewed VBN B-VP O
in IN B-PP O
[ ( B-NP O
1 CD I-NP O
] ) O O
[ ( O O
2 CD B-NP O
] ) O O
) ) O O
. . O O

Here RB B-ADVP O
, , O O
we PRP B-NP O
report VBP B-VP O
the DT B-NP O
identification NN I-NP O
and CC I-NP O
genomic JJ I-NP O
structure NN I-NP O
of IN B-PP O
APC NN B-NP O
homologues NNS I-NP O
. . O O

Mammalian JJ B-NP O
APC2 NN I-NP O
, , O O
which WDT B-NP O
closely RB B-ADVP O
resembles VBZ B-VP O
